time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
2020-04-01T01:00:00+01:00,6405,6417,6243.5,6302.5,1012.795,6411.369623962196,6358.412090454863
2020-04-01T02:00:00+01:00,6302.5,6317,6280.5,6282,536.143,6389.808019968496,6355.683087224332
2020-04-01T03:00:00+01:00,6282,6314,6282,6309.5,423.754,6376.4233499737475,6354.033691252034
2020-04-01T04:00:00+01:00,6309.5,6372,6305.5,6360.5,475.996,6373.769458311456,6354.264630850176
2020-04-01T05:00:00+01:00,6360.5,6365,6327,6336.5,514.726,6367.557881926214,6353.630179748384
2020-04-01T06:00:00+01:00,6336.5,6338.5,6283.5,6296.5,567.554,6355.714901605178,6351.589816185941
2020-04-01T07:00:00+01:00,6296.5,6310.5,6262,6289.5,497.894,6344.679084670982,6349.372322750729
2020-04-01T08:00:00+01:00,6289.5,6326.5,6280,6323,487.26,6341.065903892485,6348.43045408106
2020-04-01T09:00:00+01:00,6323,6323,6275.5,6301,482.642,6334.388253243737,6346.736509292451
2020-04-01T10:00:00+01:00,6301,6303,6257,6291,437.253,6327.156877703114,6344.745919674863
2020-04-01T11:00:00+01:00,6291,6308,6281,6285.5,411.208,6320.214064752596,6342.629993972189
2020-04-01T12:00:00+01:00,6285.5,6295.5,6265.5,6286,501.365,6314.511720627163,6340.607494187469
2020-04-01T13:00:00+01:00,6286,6333,6181.5,6214.5,1147.479,6297.843100522636,6336.103655109345
2020-04-01T14:00:00+01:00,6214.5,6229.5,6156.5,6197,752.577,6281.035917102196,6331.135667426868
2020-04-01T15:00:00+01:00,6197,6250,6191.5,6239.5,878.157,6274.1132642518305,6327.862965018766
2020-04-01T16:00:00+01:00,6239.5,6248,6213.5,6223.5,560.72,6265.677720209858,6324.135716268096
2020-04-01T17:00:00+01:00,6223.5,6223.5,6145,6178,698.787,6251.064766841549,6318.916583544235
2020-04-01T18:00:00+01:00,6178,6203.5,6160,6188,603.201,6240.553972367958,6314.240991274798
2020-04-01T19:00:00+01:00,6188,6210,6177.5,6178,493.361,6230.128310306632,6309.375241586413
2020-04-01T20:00:00+01:00,6178,6204.5,6160,6201,706.807,6225.273591922193,6305.504697244041
2020-04-01T21:00:00+01:00,6201,6373.5,6189,6330,1433.332,6242.727993268494,6306.379529485325
2020-04-01T22:00:00+01:00,6330,6395,6330,6345,1065.205,6259.773327723745,6307.758832003707
2020-04-01T23:00:00+01:00,6345,6592.5,6345,6511.5,1501.895,6301.727773103121,6315.035302289289
2020-04-02T00:00:00+01:00,6511.5,6687,6492.5,6642,1362.759,6358.439810919267,6326.712612921814
2020-04-02T01:00:00+01:00,6642,6739.5,6570,6610.5,1078.251,6400.449842432723,6336.847876746035
2020-04-02T02:00:00+01:00,6610.5,6632,6543.5,6562.5,621.134,6427.458202027269,6344.906881147962
2020-04-02T03:00:00+01:00,6562.5,6611.5,6562.5,6590.5,452.819,6454.631835022725,6353.6780639641065
2020-04-02T04:00:00+01:00,6590.5,6603.5,6575.5,6601,496.484,6479.026529185604,6362.510990251103
2020-04-02T05:00:00+01:00,6601,6628.5,6584.5,6591.5,531.623,6497.7721076546695,6370.689169170707
2020-04-02T06:00:00+01:00,6591.5,6601,6560.5,6600,662.614,6514.810089712225,6378.878841700324
2020-04-02T07:00:00+01:00,6600,6642,6585.5,6632.5,662.934,6534.425074760187,6387.936740211027
2020-04-02T08:00:00+01:00,6632.5,6673,6610.5,6639.5,549.83,6551.937562300156,6396.921142346348
2020-04-02T09:00:00+01:00,6639.5,6659,6601,6644.5,543.199,6567.36463525013,6405.763244405407
2020-04-02T10:00:00+01:00,6644.5,6650,6621.5,6639,433.881,6579.303862708442,6414.093128533786
2020-04-02T11:00:00+01:00,6639,6706.5,6612,6645,656.982,6590.253218923701,6422.339802514722
2020-04-02T12:00:00+01:00,6645,6694.5,6606.5,6676,675.868,6604.544349103084,6431.399095282053
2020-04-02T13:00:00+01:00,6676,6725.5,6629.5,6651.5,1042.016,6612.370290919236,6439.259841879123
2020-04-02T14:00:00+01:00,6651.5,6671.5,6620.5,6640.5,804.216,6617.05857576603,6446.44699038344
2020-04-02T15:00:00+01:00,6640.5,6812.5,6637,6775.5,1687.918,6643.465479805025,6458.198883584031
2020-04-02T16:00:00+01:00,6775.5,6828,6720.5,6796.5,1280.354,6668.971233170854,6470.281066313173
2020-04-02T17:00:00+01:00,6796.5,6911,6782.5,6908.5,1552.213,6708.8926943090455,6485.931742516274
2020-04-02T18:00:00+01:00,6908.5,7230.5,6908.5,7081.5,9009.751,6770.993911924204,6507.2020374264075
2020-04-02T19:00:00+01:00,7081.5,7085,6729.5,6787,4520.872,6773.661593270171,6517.194821804036
2020-04-02T20:00:00+01:00,6787,6863.5,6723,6796.5,1274.324,6777.467994391809,6527.170006739606
2020-04-02T21:00:00+01:00,6796.5,6799,6644,6738,1411.383,6770.889995326507,6534.699649356048
2020-04-02T22:00:00+01:00,6738,6843,6711.5,6825.5,1056.962,6779.9916627720895,6545.08537616476
2020-04-02T23:00:00+01:00,6825.5,6859.5,6781,6842.5,740.417,6790.409718976742,6555.707327016019
2020-04-03T00:00:00+01:00,6842.5,6842.5,6730,6796.5,823.645,6791.424765813951,6564.307065336876
2020-04-03T01:00:00+01:00,6796.5,6809.5,6732.5,6738,630.714,6782.520638178293,6570.510384431987
2020-04-03T02:00:00+01:00,6738,6804,6723.5,6798.5,682.632,6785.183865148578,6578.6528707022735
2020-04-03T03:00:00+01:00,6798.5,6825,6774,6809,533.709,6789.153220957148,6586.879553891478
2020-04-03T04:00:00+01:00,6809,6825,6771,6781,410.197,6787.794350797623,6593.812426966782
2020-04-03T05:00:00+01:00,6781,6797,6759.5,6778.5,481.658,6786.245292331353,6600.408411717969
2020-04-03T06:00:00+01:00,6778.5,6786.5,6745,6775,367.762,6784.371076942794,6606.6438255851845
2020-04-03T07:00:00+01:00,6775,6819,6763,6795,367.955,6786.142564118995,6613.370831814285
2020-04-03T08:00:00+01:00,6795,6947.5,6787,6934.5,861.526,6810.868803432496,6624.839730678061
2020-04-03T09:00:00+01:00,6934.5,6980.5,6866.5,6924,532.711,6829.724002860414,6635.524026010987
2020-04-03T10:00:00+01:00,6924,6974,6891,6959,500.269,6851.270002383678,6647.076739367737
2020-04-03T11:00:00+01:00,6959,7044,6917.5,7010,535.9,6877.725001986399,6660.038284390318
2020-04-03T12:00:00+01:00,7010,7032,6934.5,7004,394.03,6898.770834988665,6672.322631376378
2020-04-03T13:00:00+01:00,7004,7007,6856.5,6913.5,821.053,6901.225695823888,6680.936108827222
2020-04-03T14:00:00+01:00,6913.5,6937,6807,6839.5,1197.058,6890.93807985324,6686.599104940535
2020-04-03T15:00:00+01:00,6839.5,6855.5,6720,6787,535.719,6873.6150665443665,6690.184851192658
2020-04-03T16:00:00+01:00,6787,6823,6671.5,6710,1017.85,6846.345888786972,6690.892535078635
2020-04-03T17:00:00+01:00,6710,6765,6604.5,6755,756.664,6831.121573989143,6693.182087397255
2020-04-03T18:00:00+01:00,6755,6794,6669.5,6713,361.628,6811.434644990953,6693.88986999021
2020-04-03T19:00:00+01:00,6713,6750,6674.5,6747.5,228.972,6800.778870825794,6695.80451749056
2020-04-03T20:00:00+01:00,6747.5,6785,6735.5,6766,243.143,6794.982392354828,6698.311499008754
2020-04-03T21:00:00+01:00,6766,6810,6677,6692.5,425.93,6777.901993629023,6698.103945472727
2020-04-03T22:00:00+01:00,6692.5,6751.5,6666,6724,386.882,6768.918328024186,6699.028804562987
