time,open,high,low,close,Volume,EMA Curta (21),EMA Longa (55)
1585962000,6748.5,6801.5,6741.5,6754.5,189.004,6758.025428252405,6705.611608648998
1585965600,6754.5,6755,6676,6676,215.975,6744.35452354367,6704.554051197249
1585969200,6676,6708.5,6665,6695,228.062,6736.128769619725,6704.212835083061
1585972800,6695,6727.5,6685,6715,194.872,6732.607308016438,6704.5980909729515
1585976400,6715,6764.5,6708.5,6727.5,113.091,6731.756090013698,6705.416016295346
1585980000,6727.5,6730,6690.5,6726.5,100.683,6730.880075011415,6706.169015713369
1585983600,6726.5,6734.5,6718.5,6728,54.14,6730.400062509512,6706.948693723606
1585987200,6728,6775,6728,6775,216.633,6737.833385424594,6709.379097519191
1585990800,6775,6859.5,6741.5,6832.5,437.741,6753.611154520495,6713.776272607792
1585994400,6832.5,6887,6806,6874,379.93,6773.675962100412,6719.498548586085
1585998000,6874,6899,6646,6698,3260.675,6761.063301750343,6718.73074327944
1586001600,6698,6725.5,6665.5,6705,212.51,6751.719418125286,6718.240359590888
1586005200,6705,6738,6688.5,6725,133.188,6747.266181771072,6718.481775319785
1586008800,6725,6730,6702,6710,77.364,6741.055151475894,6718.17885477265
1586012400,6710,6764.5,6706,6724,133.598,6738.212626229912,6718.386752816484
1586016000,6724,6790,6720.5,6781,206.663,6745.343855191593,6720.622940215895
1586019600,6781,6801.5,6755,6774.5,239.13,6750.203212659661,6722.547120922471
1586023200,6774.5,6799,6767,6770.5,69.658,6753.586010549718,6724.259723746668
1586026800,6770.5,6780,6723,6737.5,174.971,6750.905008791431,6724.732590755715
1586030400,6737.5,7012,6737.5,6821.5,2626.15,6762.670840659526,6728.188569657297
1586034000,6821.5,6885,6821.5,6856,295.689,6778.225700549605,6732.753263598108
1586037600,6856,6869.5,6787.5,6849,154.116,6790.021417124671,6736.904932755318
1586041200,6849,6865,6820,6863.5,78.546,6802.267847603893,6741.4261851569145
1586044800,6863.5,6889,6837,6854,126.676,6810.889873003244,6745.446678544167
1586048400,6854,6874,6840.5,6846,75.815,6816.741560836037,6749.037868596161
1586052000,6846,6847,6802,6837.5,219.115,6820.201300696697,6752.1972304320125
1586055600,6837.5,6840.5,6789,6795.5,125.937,6816.084417247248,6753.7437579165835
1586059200,6795.5,6795.5,6751,6781.5,204.139,6810.32034770604,6754.735052276706
1586062800,6781.5,6833,6764,6791.5,174.129,6807.183623088366,6756.048086123966
1586066400,6791.5,6791.5,6743,6774,139.999,6801.653019240305,6756.689225905253
1586070000,6774,6790,6756.5,6774,87.899,6797.044182700254,6757.307467837209
1586073600,6774,6795.5,6756,6777,96.564,6793.703485583545,6758.010772557308
1586077200,6777,6820,6763.5,6772,168.673,6790.086237986288,6758.510387823118
1586080800,6772,6786,6740,6756,118.097,6784.405198321907,6758.4207311151495
1586084400,6756,6819,6752.5,6776,611.487,6783.004331934922,6759.0485621467515
1586088000,6776,6793.5,6762,6788.5,287.838,6783.920276612435,6760.100399212939
1586091600,6788.5,6818.5,6779.5,6796,449.073,6785.933563843696,6761.382527812477
1586095200,6796,6796,6769,6778.5,119.553,6784.694636536413,6761.993866104888
1586098800,6778.5,6800.5,6762.5,6785.5,89.754,6784.828863780344,6762.833370886857
1586102400,6785.5,6791.5,6764,6781.5,119.891,6784.274053150287,6763.500036212326
1586106000,6781.5,6848,6680,6792,2302.328,6785.561710958573,6764.517892061886
1586109600,6792,6814,6775,6792,268.267,6786.634759132144,6765.499395916819
1586113200,6792,6809.5,6783,6789.5,91.987,6787.112299276787,6766.356560348361
1586116800,6789.5,6790,6726.5,6752.5,207.386,6781.343582730656,6765.861683193062
1586120400,6752.5,6790,6720,6755.5,114.831,6777.036318942213,6765.491623079024
1586124000,6755.5,6807,6755,6794,3864.803,6779.863599118511,6766.50977939763
1586127600,6794,6802,6769,6771,413.954,6778.3863325987595,6766.670144419143
1586131200,6771,6874.5,6762,6866,546.935,6792.988610498966,6770.217639261316
1586134800,6866,6884.5,6828,6840,435.997,6800.823842082472,6772.709866430555
1586138400,6840,6845,6805,6824,257.921,6804.686535068727,6774.541656915178
1586142000,6824,6845,6824,6838,314.514,6810.238779223939,6776.808026311064
1586145600,6838,6957,6838,6935.5,1187.153,6831.115649353283,6782.4755967999545
1586149200,6935.5,6997,6914.5,6986,929.265,6856.929707794402,6789.744325485671
1586152800,6986,7095,6960,7068.5,1074.823,6892.191423162001,6799.699885289754
1586156400,7068.5,7098.5,6959.5,7026,984.563,6914.492852635001,6807.782032243691
